Sample2
Pos,Thickness,Target Thickness
-98.80 0.00,287.520749505,287.428
-91.28 -37.81,287.689052195,287.529
-69.86 -69.86,287.924470792,287.826
-37.81 -91.28,287.764677355,288.396
0.00 -98.80,288.263515433,289.125
37.81 -91.28,289.325076492,289.564
69.86 -69.86,289.325076492,289.417
91.28 -37.81,289.36229967,289.287
98.80 0.00,294.716661072,295.301
91.28 37.81,289.362420019,289.546
69.86 69.86,289.96980849,289.624
37.81 91.28,289.325076492,288.815
0.00 0.00,301.882914734,302.45
0.00 49.40,296.923205449,296.977
-34.93 34.93,296.718953812,295.97
-49.40 0.00,296.499675652,296.546
-34.93 -34.93,296.549085765,296.283
0.00 -49.40,296.472140434,296.713
34.93 -34.93,297.077537358,297.092
49.40 0.00,297.077537358,297.169
34.93 34.93,296.923823529,297.154
0.00 98.80,288.457612669,288.425
-37.81 91.28,288.231919039,287.838
-69.86 69.86,287.862448772,287.333
-91.28 37.81,287.600351282,287.055
-98.80 0.00,287.520749505,287.428
-91.28 -37.81,287.520749505,287.529
-69.86 -69.86,287.679466473,287.826
-37.81 -91.28,287.892171907,288.396
0.00 -98.80,288.50864498,289.125
37.81 -91.28,288.947973711,289.564
69.86 -69.86,289.362420019,289.417
91.28 -37.81,289.370036334,289.287
98.80 0.00,294.118624698,295.301
91.28 37.81,289.362420019,289.546
69.86 69.86,289.726604073,289.624
37.81 91.28,289.325076492,288.815
0.00 0.00,301.882914734,302.45
0.00 49.40,296.734066089,296.977
-34.93 34.93,296.154990125,295.97
-49.40 0.00,296.4595959,296.546
-34.93 -34.93,296.427809225,296.283
0.00 -49.40,296.638458842,296.713
34.93 -34.93,296.953910145,297.092
49.40 0.00,297.077537358,297.169
34.93 34.93,296.79617358,297.154
0.00 98.80,288.227558294,288.425
-37.81 91.28,287.764677355,287.838
-69.86 69.86,287.704715897,287.333
-91.28 37.81,287.520749505,287.055
-98.80 0.00,287.520749505,287.428
-91.28 -37.81,287.520749505,287.529
-69.86 -69.86,287.693654082,287.826
-37.81 -91.28,288.047094997,288.396
0.00 -98.80,288.302316172,289.125
37.81 -91.28,288.486375513,289.564
69.86 -69.86,289.362420019,289.417
91.28 -37.81,289.362420019,289.287
98.80 0.00,295.017398071,295.301
91.28 37.81,289.362420019,289.546
69.86 69.86,289.362420019,289.624
37.81 91.28,288.918163808,288.815
0.00 0.00,301.882914734,302.45
0.00 49.40,297.01432821,296.977
-34.93 34.93,296.132129671,295.97
-49.40 0.00,296.528184956,296.546
-34.93 -34.93,296.494800596,296.283
0.00 -49.40,296.779182025,296.713
34.93 -34.93,297.010774339,297.092
49.40 0.00,297.077537358,297.169
34.93 34.93,297.077537358,297.154
0.00 98.80,288.069858858,288.425
-37.81 91.28,287.940860188,287.838
-69.86 69.86,287.709274907,287.333
-91.28 37.81,287.520749505,287.055
-98.80 0.00,287.520749505,287.428
-91.28 -37.81,287.520749505,287.529
-69.86 -69.86,287.520749505,287.826
-37.81 -91.28,287.872461372,288.396
0.00 -98.80,288.882014451,289.125
37.81 -91.28,289.234823588,289.564
69.86 -69.86,289.342116853,289.417
91.28 -37.81,289.973506754,289.287
98.80 0.00,294.432789612,295.301
91.28 37.81,289.937812488,289.546
69.86 69.86,291.211567928,289.624
37.81 91.28,289.325076492,288.815
0.00 0.00,302.450012207,302.45
0.00 49.40,297.033939444,296.977
-34.93 34.93,296.701018855,295.97
-49.40 0.00,296.404865628,296.546
-34.93 -34.93,296.478931645,296.283
0.00 -49.40,296.628170124,296.713
34.93 -34.93,297.044126975,297.092
49.40 0.00,297.067349827,297.169
34.93 34.93,297.077537358,297.154
0.00 98.80,288.708845666,288.425
-37.81 91.28,288.904753465,287.838
-69.86 69.86,287.879677381,287.333
-91.28 37.81,287.821631979,287.055
-98.80 0.00,287.520749505,287.428
-91.28 -37.81,287.99873009,287.529
-69.86 -69.86,287.855057731,287.826
-37.81 -91.28,288.669025918,288.396
0.00 -98.80,288.790501507,289.125
37.81 -91.28,289.325076492,289.564
69.86 -69.86,289.961342735,289.417
91.28 -37.81,289.980163708,289.287
98.80 0.00,294.733526611,295.301
91.28 37.81,289.362420019,289.546
69.86 69.86,291.569972898,289.624
37.81 91.28,289.265413755,288.815
