20171026

#2 Sample
Pos : 37.81 91.28         | Predict  : 316.1021423339844   |  Target 317.2383728027344

#3 Sample
Pos : 0.00 0.00           | Predict  : 296.0811462402344   |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 295.0198974609375   |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 295.7700500488281   |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 295.60040283203125  |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 294.2309265136719   |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 293.18621826171875  |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 292.28521728515625  |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 291.7886962890625   |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 293.958984375       |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 282.51568603515625  |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 282.91571044921875  |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 282.9289855957031   |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 283.32965087890625  |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 283.1863098144531   |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 282.1300048828125   |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 280.828369140625    |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 280.01007080078125  |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 278.9736328125      |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 278.3041687011719   |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 278.15966796875     |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 278.5386657714844   |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 278.43438720703125  |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 279.3189392089844   |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 280.9761657714844   |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 281.4883728027344   |  Target 296.6725158691406
Pos : 0.00 0.00           | Predict  : 296.02227783203125  |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 294.343994140625    |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 295.9180908203125   |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 295.47650146484375  |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 294.29388427734375  |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 293.1316223144531   |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 292.16229248046875  |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 291.78521728515625  |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 293.4889831542969   |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 282.4121398925781   |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 282.5384521484375   |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 282.5359802246094   |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 283.4911804199219   |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 282.8939208984375   |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 282.2776794433594   |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 280.9654846191406   |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 279.3536682128906   |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 278.784912109375    |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 278.6920471191406   |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 278.20556640625     |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 278.9828186035156   |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 279.1319580078125   |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 279.6847229003906   |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 280.43121337890625  |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 281.2538757324219   |  Target 296.6725158691406
Pos : 0.00 0.00           | Predict  : 295.9263000488281   |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 294.26519775390625  |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 295.6175537109375   |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 295.2038269042969   |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 293.9805908203125   |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 292.89251708984375  |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 291.6517333984375   |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 291.6592102050781   |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 293.1016540527344   |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 282.510986328125    |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 282.7744445800781   |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 281.93585205078125  |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 283.1297607421875   |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 282.668701171875    |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 282.029052734375    |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 281.1286926269531   |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 279.08978271484375  |  Target 299.34783935546875
