Sample2
Pos,Thickness,Target Thickness
-34.93 -34.93,329.788672342,330.136
0.00 -49.40,328.149229107,328.621
34.93 -34.93,326.975514421,326.708
49.40 0.00,325.835515884,326.147
34.93 34.93,326.898556633,326.447
0.00 98.80,318.317999225,317.965
-37.81 91.28,319.000964192,318.833
-69.86 69.86,320.470675464,319.732
-91.28 37.81,320.031811307,320.225
-98.80 0.00,320.646187023,320.743
-91.28 -37.81,320.646187023,320.895
-69.86 -69.86,320.646187023,320.724
-37.81 -91.28,319.943417919,320.31
0.00 -98.80,318.709999825,318.731
37.81 -91.28,317.841801989,317.686
69.86 -69.86,317.026816513,317.018
91.28 -37.81,317.009292014,316.897
98.80 0.00,317.009292014,316.79
91.28 37.81,317.027225279,317.212
69.86 69.86,317.027225279,316.933
37.81 91.28,317.257646931,317.238
Sample4
0.00 0.00,302.450012207,302.45
0.00 49.40,296.233501783,296.977
-34.93 34.93,296.224189344,295.97
-49.40 0.00,296.268648878,296.546
-34.93 -34.93,296.276212358,296.283
0.00 -49.40,296.215245405,296.713
34.93 -34.93,296.74734355,297.092
49.40 0.00,296.917221985,297.169
34.93 34.93,296.619126582,297.154
0.00 98.80,288.043112468,288.425
-37.81 91.28,288.148232651,287.838
-69.86 69.86,287.945547092,287.333
-91.28 37.81,287.615295628,287.055
-98.80 0.00,287.615295628,287.428
-91.28 -37.81,287.644713839,287.529
-69.86 -69.86,287.945547092,287.826
-37.81 -91.28,287.945547092,288.396
0.00 -98.80,287.945547092,289.125
37.81 -91.28,288.62757807,289.564
69.86 -69.86,289.05405503,289.417
91.28 -37.81,289.330767954,289.287
98.80 0.00,294.134858291,295.301
91.28 37.81,289.251865573,289.546
69.86 69.86,289.367323676,289.624
37.81 91.28,289.010933065,288.815
0.00 0.00,302.450012207,302.45
0.00 49.40,296.927056936,296.977
-34.93 34.93,296.437082516,295.97
-49.40 0.00,296.483782545,296.546
-34.93 -34.93,296.367627037,296.283
0.00 -49.40,296.640604676,296.713
34.93 -34.93,297.104184237,297.092
49.40 0.00,297.115242587,297.169
34.93 34.93,297.034317204,297.154
0.00 98.80,288.578318015,288.425
-37.81 91.28,288.267745706,287.838
-69.86 69.86,287.615295628,287.333
-91.28 37.81,287.551653443,287.055
-98.80 0.00,287.551653443,287.428
-91.28 -37.81,287.608454786,287.529
-69.86 -69.86,287.706020162,287.826
-37.81 -91.28,287.901996916,288.396
0.00 -98.80,288.248066551,289.125
37.81 -91.28,289.367323676,289.564
69.86 -69.86,289.367323676,289.417
91.28 -37.81,289.345947397,289.287
98.80 0.00,294.733526611,295.301
91.28 37.81,289.330767954,289.546
69.86 69.86,289.345947397,289.624
37.81 91.28,289.330767954,288.815
0.00 0.00,302.450012207,302.45
0.00 49.40,296.959217733,296.977
-34.93 34.93,296.224189344,295.97
-49.40 0.00,296.483782545,296.546
-34.93 -34.93,296.403904732,296.283
0.00 -49.40,296.572398393,296.713
34.93 -34.93,297.104184237,297.092
49.40 0.00,297.115242587,297.169
34.93 34.93,296.985553471,297.154
0.00 98.80,288.578318015,288.425
-37.81 91.28,288.296746574,287.838
-69.86 69.86,287.747630197,287.333
-91.28 37.81,287.551653443,287.055
-98.80 0.00,287.615295628,287.428
-91.28 -37.81,287.551653443,287.529
-69.86 -69.86,287.615295628,287.826
-37.81 -91.28,287.945547092,288.396
0.00 -98.80,288.702325634,289.125
37.81 -91.28,289.114277089,289.564
69.86 -69.86,289.367323676,289.417
91.28 -37.81,289.280381212,289.287
98.80 0.00,294.128492187,295.301
91.28 37.81,289.330767954,289.546
69.86 69.86,290.594903514,289.624
37.81 91.28,289.330767954,288.815
0.00 0.00,302.450012207,302.45
0.00 49.40,296.627323625,296.977
-34.93 34.93,296.22352398,295.97
-49.40 0.00,296.387756936,296.546
-34.93 -34.93,296.236568499,296.283
0.00 -49.40,296.570878836,296.713
34.93 -34.93,297.034317204,297.092
49.40 0.00,297.044300051,297.169
34.93 34.93,296.953392674,297.154
0.00 98.80,288.155680559,288.425
-37.81 91.28,287.801843036,287.838
-69.86 69.86,287.689008503,287.333
-91.28 37.81,287.551653443,287.055
-98.80 0.00,287.551653443,287.428
-91.28 -37.81,287.551653443,287.529
-69.86 -69.86,287.777990536,287.826
-37.81 -91.28,287.945547092,288.396
0.00 -98.80,288.233224683,289.125
37.81 -91.28,288.590219931,289.564
69.86 -69.86,289.367323676,289.417
91.28 -37.81,289.367323676,289.287
98.80 0.00,292.959710985,295.301
91.28 37.81,289.367323676,289.546
69.86 69.86,289.367323676,289.624
37.81 91.28,289.003749853,288.815
0.00 0.00,302.450012207,302.45
0.00 49.40,297.034317204,296.977
-34.93 34.93,296.275370069,295.97
-49.40 0.00,296.497907721,296.546
-34.93 -34.93,296.403554424,296.283
0.00 -49.40,296.723010912,296.713
34.93 -34.93,297.067865652,297.092
49.40 0.00,297.104184237,297.169
34.93 34.93,297.104184237,297.154
0.00 98.80,288.794710202,288.425
-37.81 91.28,288.072699425,287.838
-69.86 69.86,287.782852185,287.333
-91.28 37.81,287.626149605,287.055
-98.80 0.00,287.551653443,287.428
-91.28 -37.81,287.551653443,287.529
-69.86 -69.86,287.68979179,287.826
-37.81 -91.28,287.867557414,288.396
0.00 -98.80,288.490025484,289.125
37.81 -91.28,289.282903205,289.564
69.86 -69.86,289.367323676,289.417
91.28 -37.81,289.960414552,289.287
98.80 0.00,294.733526611,295.301
91.28 37.81,289.367323676,289.546
69.86 69.86,291.231501441,289.624
37.81 91.28,289.367323676,288.815
0.00 0.00,302.450012207,302.45
0.00 49.40,296.90843922,296.977
-34.93 34.93,296.18876519,295.97
-49.40 0.00,296.439323012,296.546
-34.93 -34.93,296.441920478,296.283
0.00 -49.40,296.544240034,296.713
34.93 -34.93,297.020177351,297.092
49.40 0.00,297.104184237,297.169
34.93 34.93,297.020177351,297.154
0.00 98.80,288.458043235,288.425
-37.81 91.28,288.637595905,287.838
-69.86 69.86,287.86540625,287.333
-91.28 37.81,287.551653443,287.055
-98.80 0.00,287.551653443,287.428
-91.28 -37.81,287.687610256,287.529
-69.86 -69.86,287.551653443,287.826
-37.81 -91.28,288.386779009,288.396
0.00 -98.80,288.524449326,289.125
37.81 -91.28,289.367323676,289.564
69.86 -69.86,289.280381212,289.417
91.28 -37.81,291.070999165,289.287
98.80 0.00,294.733526611,295.301
91.28 37.81,289.367323676,289.546
69.86 69.86,291.825912925,289.624
37.81 91.28,289.280381212,288.815
