2017-10-30 17:02:25.071190: W C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\35\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-10-30 17:02:25.071306: W C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\35\tensorflow\core\platform\cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
Current Best Correlation : 0.955154823486839
(300,)
(300,)
#2 Sample
Pos : 69.86 69.86         | Predict  : 298.1516418457031   |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 304.1720275878906   |  Target 296.6725158691406
Pos : 0.00 0.00           | Predict  : 311.84881591796875  |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 310.38238525390625  |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 310.64166259765625  |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 313.98724365234375  |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 311.3674621582031   |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 309.180419921875    |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 307.09588623046875  |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 303.1077880859375   |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 306.1668395996094   |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 301.44439697265625  |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 299.4649658203125   |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 290.15289306640625  |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 299.4781188964844   |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 297.83868408203125  |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 300.5415344238281   |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 301.005126953125    |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 294.13397216796875  |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 294.0902099609375   |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 297.237548828125    |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 296.0602722167969   |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 295.2765808105469   |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 294.5198974609375   |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 296.2027893066406   |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 293.6610412597656   |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 299.831787109375    |  Target 296.6725158691406
Pos : 0.00 0.00           | Predict  : 307.8600158691406   |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 311.8583984375      |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 306.71484375        |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 314.466796875       |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 305.1631164550781   |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 302.7225646972656   |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 311.15887451171875  |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 306.9373779296875   |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 307.08935546875     |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 297.647705078125    |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 298.1756286621094   |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 299.5938720703125   |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 303.2361755371094   |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 299.3721923828125   |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 297.5860595703125   |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 300.1556396484375   |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 300.2362060546875   |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 294.4743347167969   |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 299.2285461425781   |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 295.9850769042969   |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 296.03314208984375  |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 297.46783447265625  |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 303.2944030761719   |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 290.80889892578125  |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 294.0203857421875   |  Target 296.6725158691406
Pos : 0.00 0.00           | Predict  : 311.72418212890625  |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 312.47943115234375  |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 311.0834655761719   |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 310.3071594238281   |  Target 309.18890380859375
Pos : -34.93 -34.93       | Predict  : 310.8715515136719   |  Target 309.2918395996094
Pos : 0.00 -49.40         | Predict  : 311.5925598144531   |  Target 308.55908203125
Pos : 34.93 -34.93        | Predict  : 307.9574279785156   |  Target 307.4739990234375
Pos : 49.40 0.00          | Predict  : 307.70855712890625  |  Target 306.08831787109375
Pos : 34.93 34.93         | Predict  : 304.6466979980469   |  Target 306.15283203125
Pos : 0.00 98.80          | Predict  : 294.84027099609375  |  Target 297.2350769042969
Pos : -37.81 91.28        | Predict  : 298.46551513671875  |  Target 297.9588928222656
Pos : -69.86 69.86        | Predict  : 296.27740478515625  |  Target 298.9847106933594
Pos : -91.28 37.81        | Predict  : 298.88677978515625  |  Target 299.77923583984375
Pos : -98.80 0.00         | Predict  : 299.79962158203125  |  Target 300.4298095703125
Pos : -91.28 -37.81       | Predict  : 305.9195251464844   |  Target 300.2670593261719
Pos : -69.86 -69.86       | Predict  : 302.490966796875    |  Target 299.5597229003906
Pos : -37.81 -91.28       | Predict  : 302.5704345703125   |  Target 299.34783935546875
Pos : 0.00 -98.80         | Predict  : 300.64947509765625  |  Target 299.297607421875
Pos : 37.81 -91.28        | Predict  : 293.95489501953125  |  Target 298.7312927246094
Pos : 69.86 -69.86        | Predict  : 295.2866516113281   |  Target 298.1583251953125
Pos : 91.28 -37.81        | Predict  : 289.78179931640625  |  Target 296.8955383300781
Pos : 98.80 0.00          | Predict  : 297.2089538574219   |  Target 296.50103759765625
Pos : 91.28 37.81         | Predict  : 297.7744445800781   |  Target 296.22418212890625
Pos : 69.86 69.86         | Predict  : 300.6711730957031   |  Target 296.2203674316406
Pos : 37.81 91.28         | Predict  : 304.111328125       |  Target 296.6725158691406
Pos : 0.00 0.00           | Predict  : 315.87799072265625  |  Target 309.224853515625
Pos : 0.00 49.40          | Predict  : 309.46533203125     |  Target 307.0984802246094
Pos : -34.93 34.93        | Predict  : 308.5135498046875   |  Target 308.1975402832031
Pos : -49.40 0.00         | Predict  : 308.0438232421875   |  Target 309.18890380859375
