"Pos : -98.80 0.00         | Predict  : 286.27239990234375  |  Target 287.4278869628906 "
"Pos : -91.28 -37.81       | Predict  : 285.30780029296875  |  Target 287.5286560058594 "
"Pos : -69.86 -69.86       | Predict  : 288.68255615234375  |  Target 287.8258361816406 "
"Pos : -37.81 -91.28       | Predict  : 287.69549560546875  |  Target 288.39605712890625"
"Pos : 0.00 -98.80         | Predict  : 290.79205322265625  |  Target 289.1251220703125 "
"Pos : 37.81 -91.28        | Predict  : 283.3006896972656   |  Target 289.5638427734375 "
"Pos : 69.86 -69.86        | Predict  : 291.2543029785156   |  Target 289.4169616699219 "
"Pos : 91.28 -37.81        | Predict  : 293.4215087890625   |  Target 289.2865295410156 "
"Pos : 98.80 0.00          | Predict  : 293.0942687988281   |  Target 295.30126953125   "
"Pos : 91.28 37.81         | Predict  : 293.7555236816406   |  Target 289.5456237792969 "
"Pos : 69.86 69.86         | Predict  : 289.9166259765625   |  Target 289.62384033203125"
"Pos : 37.81 91.28         | Predict  : 288.7234802246094   |  Target 288.81500244140625"
"Pos : 0.00 0.00           | Predict  : 302.3862609863281   |  Target 302.45001220703125"
"Pos : 0.00 49.40          | Predict  : 292.81353759765625  |  Target 296.9770202636719 "
"Pos : -34.93 34.93        | Predict  : 296.22113037109375  |  Target 295.96990966796875"
"Pos : -49.40 0.00         | Predict  : 293.9087829589844   |  Target 296.5458984375    "
"Pos : -34.93 -34.93       | Predict  : 296.9369812011719   |  Target 296.2831115722656 "
"Pos : 0.00 -49.40         | Predict  : 298.08563232421875  |  Target 296.7130432128906 "
"Pos : 34.93 -34.93        | Predict  : 297.54937744140625  |  Target 297.09185791015625"
"Pos : 49.40 0.00          | Predict  : 303.55242919921875  |  Target 297.1689453125    "
"Pos : 34.93 34.93         | Predict  : 296.23565673828125  |  Target 297.154052734375  "
"Pos : 0.00 98.80          | Predict  : 285.53570556640625  |  Target 288.42547607421875"
"Pos : -37.81 91.28        | Predict  : 290.39056396484375  |  Target 287.83819580078125"
"Pos : -69.86 69.86        | Predict  : 287.01611328125     |  Target 287.3325500488281 "
"Pos : -91.28 37.81        | Predict  : 284.5087890625      |  Target 287.0548095703125 "
"Pos : -98.80 0.00         | Predict  : 290.4331359863281   |  Target 287.4278869628906 "
"Pos : -91.28 -37.81       | Predict  : 285.04986572265625  |  Target 287.5286560058594 "
"Pos : -69.86 -69.86       | Predict  : 288.6663513183594   |  Target 287.8258361816406 "
"Pos : -37.81 -91.28       | Predict  : 291.58837890625     |  Target 288.39605712890625"
"Pos : 0.00 -98.80         | Predict  : 287.8109130859375   |  Target 289.1251220703125 "
